2019-03-22 11:51:41|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:51:41|adapter.go:83|DEBUG|send req:16
2019-03-22 11:51:41|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:51:41|statf.go:87|DEBUG|report ret:0
2019-03-22 11:51:41|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:51:41|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:51:41|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:51:41|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:51:41|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:51:41|statf.go:87|DEBUG|report ret:0
2019-03-22 11:51:41|statf.go:101|DEBUG|stat report
2019-03-22 11:51:41|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:51:41|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:51:51|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:51:51|adapter.go:83|DEBUG|send req:17
2019-03-22 11:51:51|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:51:51|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:51:51|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:51:51|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:51:51|statf.go:87|DEBUG|report ret:0
2019-03-22 11:51:51|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:51:51|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:51:51|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:51:51|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:51:51|statf.go:87|DEBUG|report ret:0
2019-03-22 11:51:51|statf.go:101|DEBUG|stat report
2019-03-22 11:51:51|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:51:51|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:52:01|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:52:01|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:01|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:01|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:01|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:01|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:52:01|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:01|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:01|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:01|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:01|statf.go:101|DEBUG|stat report
2019-03-22 11:52:01|adapter.go:83|DEBUG|send req:18
2019-03-22 11:52:01|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:52:01|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:52:01|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:52:11|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:52:11|adapter.go:83|DEBUG|send req:19
2019-03-22 11:52:11|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:11|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:52:11|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:11|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:11|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:11|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:52:11|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:11|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:11|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:11|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:11|statf.go:101|DEBUG|stat report
2019-03-22 11:52:11|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:52:11|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:52:21|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:52:21|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:21|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:21|adapter.go:83|DEBUG|send req:20
2019-03-22 11:52:21|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:21|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:21|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:52:21|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:52:21|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:21|adapter.go:83|DEBUG|send req:4
2019-03-22 11:52:21|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:52:21|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:21|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:21|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:21|statf.go:101|DEBUG|stat report
2019-03-22 11:52:21|servant.go:74|ERROR|Invoke Obj:tars.tarsregistry.QueryObj,fun:findObjectByIdInSameGroup,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:52:21|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:52:21|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:52:21|endpointmanager.go:201|ERROR|find obj end fail:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:52:31|statf.go:48|DEBUG|report statList.size:2
2019-03-22 11:52:31|adapter.go:83|DEBUG|send req:21
2019-03-22 11:52:31|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:52:31|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:31|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:31|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:31|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:31|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:52:31|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:52:31|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:52:31|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:52:31|statf.go:87|DEBUG|report ret:0
2019-03-22 11:52:31|statf.go:101|DEBUG|stat report
